description,category,cluster
"Продажи i. Phone в Китае в первом квартале текущего года упали на 19% и показали худший результат с 2020 года, пишет Bloomberg. Apple опустилась на третье место, хотя в первом квартале 2023 года компания была лидером. @bankrollo",economy,55
"В 2027 году доллар будет стоить в среднем около 103,8 рубля, прогнозирует Минэкономразвития. @banksta",economy,56
"К 2027 году доллар будет стоить в среднем 103,8 рубля — прогноз Минэкономразвития. В текущем году среднегодовой курс доллара составит 94,7 рубля. @bankrollo",economy,56
"Мошенники начали разводить россиян под предлогом замены полиса ОМС. Для этого они убеждают граждан скачать фейковое приложение Минздрава, которое на деле является вредоносной программой, позволяющей получить удалённый доступ к устройству и похитить деньги. @bankrollo",economy,57
"Мошенники обманывают россиян под предлогом замены полиса ОМС. Для этого они убеждают граждан скачать якобы приложение Минздрава, которое на деле является вредоносной программой, позволяющей получить удалённый доступ к устройству и похитить деньги. @banksta",economy,57
"Москва оказалась на 99-м месте в рейтинге доходности жилья. Его лидером стал Норильск, где в период с 2021 по 2023 год стоимость квартир прибавила 29%. @banksta",economy,58
"Москва оказалась на 99-м месте в рейтинге доходности жилья. Лидерами рейтинга стали Норильск, Горно-Алтайск и Таганрог. @bankrollo",economy,58
МИД Украины запретил мужчинам призывного возраста совершать за границей консульские действия. Теперь мужчины — граждане Украины с 18 до 60 лет не смогут получить загранпаспорт за границей. @bankrollo,economy,59
Украина перестанет менять паспорта и документы сбежавшим за границу гражданам. Так она пытается вернуть мужчин призывного возраста с 18 до 60 лет. Их можно будет обменять только на Украине. @banksta,economy,59
"Пассажиры международных рейсов ежегодно перевозят контрабандой «сотни миллиардов долларов наличными», пишет WSJ со ссылкой на FATF. Некоторые страны не ограничивают ввоз наличных, что позволяет «миллиардам долларов» утекать в страны с меньшим контролем. Например, в ОАЭ можно ввезти любую сумму в наличных, если она задекларирована. @banksta",economy,60
"Пассажиры международных рейсов ежегодно перевозят контрабандой «сотни миллиардов долларов наличными», пишет The Wall Street Journal. Некоторые страны не ограничивают ввоз наличных, эта лазейка позволяет «миллиардам долларов» утекать из Великобритании и других стран в страны с меньшим контролем, пишет WSJ. Например, в ОАЭ можно ввезти любую сумму в наличных, если она задекларирована, уточняет газета. Так, в 2020 году две женщины перевезли из лондонского Хитроу в Дубай семь чемоданов с деньгами, вспоминает газета. @bankrollo",economy,60
"Отступают холода — расцветают выгодные условия от ВТБ.. 10% кешбэка за оплату ЖКХ через ВТБ Онлайн, переводы более чем в 20 стран мира и совершенно бесплатное обслуживание дебетовой карты. Её, кстати, можно оформить на сайте. Так что надеваем панамки и радуемся солнечным предложениям.",society,61
"☀️Весной распускаются не только деревья и цветы, но и предложения от ВТБСобирайте свой букет выгод: — Дебетовая карта с бесплатным обслуживанием— Кешбэк 10% за оплату ЖКУ в ВТБ Онлайн — Переводы в 20+ стран мира— Кешбэк до 25% в рублях с 1 мая Следите за весенними прогнозами с аномально выгодными предложениями в @bankvtb",economy,61
"❗️Крупнейший в мире производитель стройматериалов Knauf передаст российский бизнес местному менеджменту. Немецкая компания решила отказаться от своего бизнеса в России после более чем 30 лет работы, сообщается в пресс-релизе производителя. Knauf планирует передать все структуры в РФ под местное управление, чтобы в будущем сохранить рабочие места. Это коснется более чем 4 тыс сотрудников. Ранее компания попала в расстрельный украинский список «международных спонсоров войны». Возможно, именно это давление на Knauf и привело к решению последней отказаться от бизнеса в РФ. Для совершения сделки еще предстоит получить одобрение со стороны российских ведомств.",society,62
Крупнейший в мире производитель стройматериалов Knauf передаст российский бизнес местному менеджменту. Немецкая компания решила отказаться от своего бизнеса в России после более чем 30 лет работы. @banksta,economy,62
"Крупнейший в мире производитель стройматериалов — Knauf передаст свой российский бизнес местному менеджменту. Компания проработала в России более 30 лет и рассчитывает, что в будущем будут сохранены рабочие места для более чем 4 тысяч сотрудников. @bankrollo",economy,62
"ЕС намерен включить в 14-й пакет антироссийских санкций запрет на поставки СПГ, сообщил глава МИД Швеции Тобиас Билльстрём. Основные покупатели российского сжиженного газа среди стран ЕС - Франция и Испания. https://t.me/banksta/50617",economy,63
"Страны ЕС планируют включить в 14-й пакет антироссийских санкций запрет на поставки сжиженного природного газа, сообщил глава МИД Швеции Тобиас Билльстрём. Новый пакет санкций могут принять уже весной. @bankrollo",economy,63
"Власти Ирана готовятся к запуску пилотного проекта по приёму российских карт «Мир». Сейчас идет работа над техническими деталями, чтобы обеспечить бесперебойный процесс оплаты по «Миру», рассказал Известиям торговый атташе посольства Ирана в РФ Рахими Мохсен. Запуск обслуживания карт «Мир» может занять от трех до шести месяцев, однако срок полностью зависит от заинтересованности обеих сторон, пояснил он. @bankrollo",economy,64
"Иран готовится к запуску пилотного проекта по приему карт российской платежной системы «Мир». Запуск может занять от трех до шести месяцев. Сейчас ведется работа над техническими деталями, чтобы обеспечить бесперебойный процесс оплаты. @banksta",economy,64
"Воры стали мошенничать с аккаунтами россиян в Telegram по новой схеме. От имени службы поддержки мессенджера они рассылают сообщения о том, что человек якобы подал заявку на удаление своей учётной записи, а потом предлагают отменить эту процедуру через специальную форму, где перехватывают контроль над аккаунтом. @banksta",economy,65
"☝️Очередная схема кражи аккаунтов в Telegram: мошенники пишут россиянам от имени службы поддержки мессенджера. В сообщении указывают, что вы, как пользователь, якобы подали заявку на удаление учётной записи. Тут же предлагают отменить эту процедуру через специальную форму, при помощи которой и получают доступ к аккаунту.. На всякий случай напомним, что сторонние лица не имеют права делать запрос об удалении учётной записи, деактивировать её в настройках мессенджера может только сам пользователь. Подписаться на СМИ",society,65
"Туриста из России, который летел на концерт Мадонны в Мексику, не пустили на борт Turkish Airlines. Он потерял 430 тысяч рублей. Его и еще несколько туристов развернули ""из-за маленькой истории путешествий"" со словами ""А, ещё один русский"" и перечёркивали посадочные талоны. https://t.me/banksta/49365",economy,66
"Туриста из России, который летел на концерт Мадонны в Мексику, не пустили на борт Turkish Airlines. Он потерял 430 тысяч рублей. Он рассказал, что с рейса сняли ещё несколько граждан РФ, заявив, что у них якобы слишком «маленькая история путешествий». @bankrollo",economy,66
"Банк России оставит ключевую ставку на уровне 16%, считают 20 опрошенных участников финансового рынка. Цены подогревает высокий потребительский спрос и дефицит на рынке труда, отмечают эксперты. @banksta",economy,67
"ЦБ оставит ключевую ставку на уровне 16%, считают все 20 опрошенных Известиями участников финансового рынка. Риски разгона инфляции всё ещё есть. Цены подогревает высокий потребительский спрос и дефицит на рынке труда, отмечают эксперты. @bankrollo",economy,67
Мошенники придумали очередную схему развода россиян с приложениями банков. Под видом сотрудников кредитных организаций они начали предлагать гражданам загрузить «обновлённую версию удалённого из App Store приложения банка». После установки злоумышленники получают полный доступ к смартфону жертвы и его деньгам. @banksta,economy,68
Мошенники под видом сотрудников банков начали массово предлагать россиянам загрузить обновлённую версию удалённого из App Store «приложения банка». После его установки злоумышленники получают полный доступ к смартфону жертвы и его деньгам. @bankrollo,economy,68
❗️Палата представителей США приняла на процедурном голосовании законопроекты об оказании помощи Украине и конфискации российских активов — результаты,economy,69
"Палата представителей США приняла законопроект о конфискации активов России в пользу Украины, - пишет РИА Новости. Планируется украсть около 5 млрд долларов. @banksta",economy,69
Палата представителей США приняла законопроект о конфискации российских активов в пользу Украины. @bankrollo,economy,69
"По данным Reuters, Apple Pay может заработать в России уже в мае. Антимонопольные органы ЕС намерены одобрить план по открытию доступа к NFC в i. Phone сторонним сервисам, что позволит пользователям изменить стандартное платёжное приложение. @banksta",economy,70
"Apple Pay может заработать в России уже в мае — Reuters. Антимонопольные органы ЕС намерены одобрить план по открытию доступа к NFC в i. Phone сторонним сервисам, что позволит пользователям изменить стандартное платёжное приложение. @bankrollo",economy,70
"Киргизский банк Finca сообщил, что с 5 мая приостановит зачисления средств на счета своих клиентов через Сбербанк для граждан Киргизии, а для иностранных граждан - с середины мая через ""Тинькофф"". Из данного сообщения многие собственно и узнали, что эти зачисления были возможны. @banksta.",economy,71
Киргизский Finca Bank в мае приостановит зачисление переводов из Сбера и Тинькофф банка на счета иностранных граждан. @bankrollo,economy,71
"Доля юаня в резервах мировых центральных банках сократилась до трехлетнего минимума. По данным МВФ, на юани приходится только 2,29% всех мировых резервов. @bankrollo",economy,72
"По данным МВФ, резервы мировых центральных банков на конец четвертого квартала прошлого года составили $11,45 трлн: 58,41% резервов сосредоточено в долларах, 19,98% - в евро, 5,7% - в йене, 4,84% - в фунтах. Доля юаня сократилась до трехлетнего минимума – 2,29% всех мировых резервов. @banksta",economy,72
В Telegram появится возможность покупать цифровые товары за крипту в течение нескольких недель — Павел Дуров на конференции Token 2049 в Дубае. @bankrollo,economy,73
Главное про Telegram с конференции Token. 2049 с Павлом Дуровым:Появится возможность покупать цифровые товары за криптовалюту. USDT запущен на TON.. Стикеры и эмодзи можно будет покупать как NFTПоявятся донаты для создателей контента. Появится возможность создания мини-приложений@banksta,economy,73
"В портфеле застройщика Страна Девелопмент появился самый амбициозный проект в России.. Девелопер построит самые высокие жилые здания в России, два небоскреба по 450 метров в Москва-Сити. Право на строительство компания выиграла на аукционе Департамента Москвы по конкурентной политике. На участке будет возведено почти 232 тыс м. 2 жилья и 49 тыс м. 2 нежилых помещений. Продавцом участка выступило ООО ""МОССИТИСТРОЙ"".. Страна Девелопмент реализует проекты в 5 регионах России, в контур интересов застройщика входит строительство жилья и торговых центров, как в массовом, так и в бизнес-сегменте. @banksta",economy,74
"В Москве построят два небоскреба, которые станут самыми высокими жилыми зданиям в России. Строительством займётся федеральный застройщик Страна Девелопмент. Башни по 450 метров появятся в районе Москва-Сити. Право на строительство компания выиграла на аукционе Департамента Москвы по конкурентной политике. Всего на участке будет возведено почти 232 тыс м. 2 жилья и 49 тыс м. 2 нежилых помещений. @bankrollo",economy,74
"Сотни россиян потребовали от Sony 3 млрд рублей морального ущерба за отключение доступа к услугам игрового магазина Playstation Store. Коллективный иск подписали уже более 300 человек. Sony лишила россиян возможности официально покупать игры и дополнения к ним, а также библиотеки c контентом Playstation Plus. Первый коллективный иск геймеры подали ещё весной 2022 года, но суд отказал в требовании вернуть доступ к магазину. @bankrollo",economy,75
"Более 300 человек подписали коллективный иск к Sony на 3 млрд рублей за отключение доступа к услугам игрового магазина Playstation Store. Sony лишила россиян возможности официально покупать игры и дополнения к ним, а также библиотеки c контентом Playstation Plus. @banksta",economy,75
"В России побит рекорд по сумме взяток, установленный в МВД РФ экс-полковником Дмитрием Захарченко. По данным Коммерсанта, в получении незаконных вознаграждений от администратора криптобиржи почти на 5 млрд рублей обвинен сотрудник одного из самых секретных подразделений министерства — бюро специальных технических мероприятий (БСТМ) Георгий Сатюков. Он успел скрыться за границей и был арестован только заочно. По одной из версий, Сатюков может находиться в Дубае, в апартаментах в «Бурдж-Халифа». @bankrollo",economy,76
"Сотрудник бюро специальных технических мероприятий Георгий Сатюков более чем в три раза побил рекорд экс-полковника Дмитрия Захарченко, пишет «Коммерсант». Его обвиняют в крышевании криптобиржи Wex. Якобы он получил почти 5 млрд руб, либо заставил админов их ему отдать.. Новый фигурант и его коллега Дмитрий Соколов успели скрыться за границу и были арестованы только заочно. Обвиняемые могут находиться в Дубае, где у одного из них апартаменты в восьмисотметровой башне «Бурдж-Халифа». @banksta",economy,76
"Сбер запустил быструю доставку своих банковских карт. Теперь она будет выполняться от 15 минут по всей стране. Сервис уже работает в более 100 городах России. Дебетовую Сбер. Карту бесплатно привезут курьеры в любое удобное место. Чтобы получить готовую карту, при заказе пластика в приложении Сбербанк Онлайн нужно выбрать опцию «Хочу быструю доставку» и указать адрес. Это самая быстрая доставка карт в стране на сегодняшний день, отметил директор дивизиона «Кошелек клиента» Сбербанка Игорь Ковалев. @bankrollo",economy,77
"Сбер запустил быструю курьерскую доставку банковских карт за 15 минут. Услуга доступна жителям более чем 100 городов России. Чтобы ей воспользоваться, нужно при оформлении карты в Сбербанк Онлайн выбрать опцию «Хочу быструю доставку», и дебетовую карту бесплатно привезут по указанному вами адресу. Как отметил директор дивизиона «Кошелек клиента» Сбера Игорь Ковалев, проект успел положительно зарекомендовать себя: его пилотная версия была запущена еще прошлым летом в Москве, Казани и Уфе и завоевала большую популярность в этих городах. @banksta",economy,77
"Владимир Путин назначил Алексея Дюмина своим помощником, освободив с поста губернатора Тульской области.",society,78
"Путин назначил губернатора Тульской области Алексея Дюмина своим помощником, освободив от занимаемой должности. @bankrollo",economy,78
"У начальника Управления кадров МО РФ Юрия Кузнецова нашли 100 миллионов рублей наличкой. Его подозревают в получении взятки в особо крупном размере.. По данным следствия, Кузнецов получал деньги от представителей коммерческих структур за определённые услуги с 2021 по 2023 год, находясь в должности начальника 8-го управления Генерального штаба ВС РФ. Также во время обыска нашли золотые монеты, коллекционные часы и предметы роскоши. Сейчас Кузнецов под стражей.❗ Подписывайся на Mash",society,79
"По версии следствия, Кузнецов в 2021 – 2023 годах, будучи начальником восьмого управления Генштаба, получил взятку от представителей коммерческих структур за совершение определенных действий в их пользу. В ходе обысков обнаружены и изъяты денежные средства в рублях и иностранной валюте в размере более 100 млн рублей, золотые монеты, коллекционные часы и предметы роскоши. @bankrollo",economy,79
"СК подтвердил возбуждение уголовного дела в отношении начальника управления кадров Министерства обороны РФ Юрия Кузнецова. Он подозревается в получении взятки в особо крупном размере (ч.. 6 ст. 290 УК РФ). СК сообщает, что в 2021 – 2023 годах, являясь начальником 8 управления Генштаба ВС РФ, Кузнецов получил взятку от представителей коммерческих структур за совершение определенных действий в их пользу.. В ходе обысков у него дома обнаружены средства в размере более 100 млн рублей, золотые монеты, коллекционные часы и предметы роскоши. Кузнецов заключен под стражу 13 мая.",society,79
"😨Китайский кроссовер GAC чуть не сжёг собственного владельца и его жену на трассе М-12. У годовалой машины воспламенилась дверь, при этом ремень безопасности заело и отказали тормоза…Алексей (имя изменено) вместе с супругой возвращался от родственников, из Оренбурга, домой — в Москву. Перед заправкой из-под капота повалил дым, тут же полыхнула водительская дверь. Пока мужчина пытался выбраться, получил тяжёлые ожоги лица, рук и ног, сгорели волосы на голове. Жена успела выпрыгнуть на ходу.. А китайцев точно стоит покупать?Подписаться на СМИ",society,80
"Китайский кроссовер GAC чуть не сжёг заживо своего хозяина. По данным Shot, мужчина вместе с женой ехал по трассе М-12 из Оренбурга в Москву. На повороте перед заправкой у машины вспыхнула передняя левая дверь, заело водительский ремень и отказали тормоза. Пока мужчина пытался выбраться, получил тяжёлые ожоги лица, рук и ног, одежда прилипла к обожжённым частям тела, сгорели волосы на голове. Жена успела выскочить на ходу. Водитель госпитализирован с серьёзными ожогами. Что стало причиной возгорания — пока неизвестно. Кроссоверу за 2,6 млн нет и года. @retailrus",economy,80
Задержан начальник Главного управления кадров Минобороны РФ генерал-лейтенант Кузнецов — правоохранительные органы. @bankrollo,economy,81
"Задержан начальник Главного управления кадров Минобороны России Юрий Кузнецов, сообщают СМИО том, что в отношении начальника Главного управления кадров Минобороны РФ генерал-лейтенанта Юрия Кузнецова начались следственные действия, сообщает ряд российских СМИ. Правоохранительные органы пока не комментировали информацию о задержании чиновника.. Кузнецов был назначен на должность в мае прошлого года. До этого восемь лет возглавлял 8-е управление Генштаба ВС РФ.. UPD: правоохранительные органы подтвердили факт задержания Кузнецова.",society,81
"На карантин из-за кори закрыли Российский технологический университет МИРЭА в Москве. Всех студентов и преподавателей перевели на дистант с 14 по 24 мая.. По информации Mash, заражён как минимум один человек. Всех контактировавших с ним проверят в ближайшее время. Госы пройдут также в формате 2020 года, когда все студенты сдавали экзамен онлайн. ❗ Подписывайся на Mash",society,82
"Из-за кори на карантин закрыли Российский технологический университет МИРЭА в Москве. Заражён как минимум один человек, всех контактировавших с ним проверяют. Студентов и преподавателей перевели на дистанционное обучение с 14 по 24 мая, госэкзамены пройдут в онлайн-формате. @bankrollo",economy,82
"Экс-футболист Барселоны Эдгар Ие заключил контракт с бухарестским Динамо. Однако через три месяца в Румынии заподозрили, что вместо него играет брат-близнец. В клубе удивились, что футболист говорит только по-португальски и отказывается показывать свои документы. Теперь клуб хочет сделать ДНК-тест. @bankrollo",economy,83
"😂 АФЕРА ВЕКА — экс-игрок «Барсы» отправил играть за клуб своего брата-близнеца!🧠 Он отказывается показывать документы и не говорит по-английски, клуб хочет сделать ДНК-тест",sports,83
"Microsoft разблокировал россиянам доступ к обновлениям Windows и Office. Их можно скачать без VPN, пишут Известия. Также доступны облачные программные продукты для российских IТ-компаний. @bankrollo",economy,84
Загрузочные дни: Microsoft разблокировала россиянам доступ к обновлениям ОС Windows 11 и пакету MS Office. Скачивать программное обеспечение снова можно без VPN.. Рыночек порешал?Подписаться на СМИ,society,84
"Губернатор Гладков сообщил, что дом обрушился в результате прямого попадания снаряда ВСУ. Обрушился весь подъезд с десятого по первый этаж.",society,85
"Подъезд многоэтажки в Белгороде обрушился в результате попадания снаряда ВСУ. Подъезд обрушился полностью с десятого по первый этаж, сообщил губернатор региона Гладков. @bankrollo",economy,85
"Автобус с людьми упал в реку Мойку в Санкт-Петербурге.. Видео инцидента опубликовала «Фонтанка». На нём видно, как автобус ушёл под воду по крышу. Пассажирам пытаются помочь очевидцы.. По данным издания, автобус врезался в два автомобиля, после чего пробил ограду и оказался в воде.",society,86
"Автобус с людьми упал в реку Мойку в Санкт-Петербурге. Он ушел в воду по крышу. По данным Фонтанки, в воде может находиться около 20 человек. @bankrollo",economy,86
"Матвиенко направила Путину трёх кандидатов на должность главы Счетной палаты: Анатолий Артамонов, Галина Изотова и Борис Ковальчук.. Артамонов 20 лет, до 2020 года, возглавлял Калужскую область, после стал сенатором от региона. Изотова — и.о. главы Счетной палаты. Ковальчук — замглавы контрольного управления администрации президента, бывший глава Интер РАО. @bankrollo",economy,87
"❗️Валентина Матвиенко направила Владимиру Путину трех кандидатов на должность главы Счетной палаты. Среди них Анатолий Артамонов, Галина Изотова и Борис Ковальчук.",society,87
"Владимира Зеленского объявило в розыск МВД РФ по уголовной статье. Какой — не указывается, карточка появилась сегодня на сайте ведомства. UPD. Бывшего президента Украины Петра Порошенко также объявили в розыске по уголовной статье.❗ Подписывайся на Mash",society,88
"МВД объявило в розыск рэпера Oxxxymiron'а. Розыск ведётся по статье УК, какой именно — не уточняется. Кроме того, в МВД не смогли определить национальность рэпера. @bankrollo",economy,88
"МВД объявило в розыск Владимира Зеленского.. По какой именно статье УК его разыскивают, не уточняется.. UPD: МВД также объявило в розыск бывшего президента Украины Петра Порошенко и командующего сухопутными войсками ВСУ Александра Павлюка. По какой именно статье УК, также не уточняется.",society,88
❗️МВД РФ объявило в розыск командующего сухопутными войсками ВСУ Александра Павлюка. Ранее в розыск по статьям УК были объявлены нынешний и бывший президенты незалежной — Владимир Зеленский и Петр Порошенко.,society,88
"Те самые четыре пакета с наградами экс-замминистра обороны РФ Тимура Иванова Появились фотографии тех самых четырех увесистых пакетов с государственными наградами, которые принесли помощники адвоката на апелляцию по мере пресечения. «Визуализировать» значимость Тимура Иванова перед судьей не получилось, и разложенные по столу коробки с медалями не сыграли роли — экс-чиновник остался в изоляторе, где и присутствовал на заседании.. Адвокат экс-замминистра уже сообщил, что сумма полученной Ивановым взятки составляет порядка ₽1 млрд.",society,89
"Адвокат арестованного экс-замминистра Минобороны Тимура Иванова принес в суд все его награды. Защитнику понадобились четыре пакета и два помощника, чтобы доставить их. Несмотря на это суд Иванова оставил в СИЗО. @bankrollo",economy,89
"Парень устал от мошенников в криптовалюте и создал свой токен под названием HANDS. Вместе с запуском монеты, он включил прямую трансляцию, где стоял у стены с руками за спиной. Его слоган: «Нет рук, нет скама».. Однако что-то пошло не так: после успешного старта он не выдержал и продал все свои монеты на сумму около $1,1 тыс. После этого вновь вернулся на своё место, словно ничего и не было.. Перешел на темную сторону.",technology,90
"Криптан устал от мошенников и решил создать свой токен под названием HANDS. Запустив монету, он включил прямую трансляцию, где стоял у стены с руками за спиной и слоганом — «Нет рук, нет скама». Но сразу после успешного старта он продал все свои монеты на $1,1 тысяч. @bankrollo",economy,90
"❗️Послу Британии выражен решительный протест в связи с заявлением главы МИД Кэмерона о праве Киева наносить удары по России британским оружием. Посол предупрежден, что ответом на украинские удары с применением британского оружия по территории России могут стать любые военные объекты и техника Великобритании на территории Украины и за ее пределами, сообщает МИД России.",society,91
МИД России пригрозил Великобритании ударами по стране в ответ на удары Киева по России с применением британского оружия. @bankrollo,economy,91
"Пассажирский самолёт NWS077 авиакомпании Nordwind Москва — Оренбург пропал с карт сервиса для отслеживания полётов Flightradar. Перед исчезновением лайнер подал аварийный сигнал и развернулся в сторону Москвы над Нижегородской областью. Предварительно, летел на низкой высоте в сторону аэропорта. UPD. Airbus A321 возвращается в Шереметьево. Посадка запланирована на 15:10. Борт снова появился во Flightradar. ❗️ Подписывайся на Mash",society,92
"Самолёт авиакомпании Nordwind подал сигнал бедствия ""аварийная ситуация"". Предварительно, на рейсе Москва — Оренбург произошла разгерметизация.❗️ Подписывайся на Mash",society,92
Пассажирский самолёт авиакомпании Nordwind Москва — Оренбург пропал с радаров сервиса для отслеживания полётов Flightradar. Перед исчезновением лайнер подал аварийный сигнал и развернулся в сторону Москвы над Нижегородской областью. @bankrollo,economy,92
"❗️Власти Киргизии рекомендуют соотечественникам временно воздержаться от поездок в РФ — МИД республики. Ранее с подобным заявлением выступил МИД Таджикистана, призвав своих граждан воздержаться от поездок в Россию.",society,93
МИД Киргизии рекомендовал гражданам временно отказаться от поездок в Россию из-за усиления контроля на границе. С аналогичным призывом ранее выступил МИД Таджикистана. @bankrollo,economy,93
"Электронный реестр воинского учёта и реестр электронных повесток заработают 1 ноября 2024 года. Реестр будет содержать 50 разных пунктов со сведениями о лицах, состоящих на учёте в военкомате. Электронная повестка будет считаться врученной по истечении 7 дней после размещения в реестре повесток. @bankrollo",economy,94
